step,epoch,loss
0,1,0.7371826171875
1,1,0.8026123046875
2,1,0.7142333984375
3,1,0.8115234375
4,1,0.680419921875
5,1,0.7239990234375
6,1,0.7208251953125
7,1,0.62274169921875
8,1,0.7388916015625
9,1,0.7381591796875
10,1,0.69921875
11,1,0.7850341796875
12,1,0.851318359375
13,1,0.7138671875
14,1,0.7371826171875
15,1,0.65087890625
16,1,0.7742919921875
17,1,0.59564208984375
18,1,0.74072265625
19,1,0.7125244140625
20,1,0.6571044921875
21,1,0.63531494140625
22,1,0.7056884765625
23,1,0.7882080078125
24,1,0.6988525390625
25,1,0.7552490234375
26,1,0.6923828125
27,1,0.8565673828125
28,1,0.83154296875
29,1,0.6641845703125
30,1,0.632080078125
31,1,0.78271484375
32,1,0.76165771484375
33,1,0.767333984375
34,1,0.7061767578125
35,1,0.7496337890625
36,1,0.693359375
37,1,0.7645263671875
38,1,0.805908203125
39,1,0.8385009765625
40,1,0.69580078125
41,1,0.806884765625
42,1,0.6826171875
43,1,0.7476806640625
44,1,0.766845703125
45,1,0.689697265625
46,1,0.6788330078125
47,1,0.8133544921875
48,1,0.82373046875
49,1,0.6929931640625
50,1,0.9007568359375
51,1,0.7686767578125
52,1,0.71142578125
53,1,0.7593994140625
54,1,0.735107421875
55,1,0.7283935546875
56,1,0.6717529296875
57,1,0.6641845703125
58,1,0.7860107421875
59,1,0.5933837890625
60,1,0.7630615234375
61,1,0.830810546875
62,1,0.7303466796875
63,1,0.683349609375
64,1,0.7684326171875
65,1,0.786376953125
66,1,0.7752685546875
67,1,0.62188720703125
68,1,0.793212890625
69,1,0.69091796875
70,1,0.7288818359375
71,1,0.7060546875
72,1,0.6873779296875
73,1,0.681396484375
74,1,0.7742919921875
75,1,0.6722412109375
76,1,0.681884765625
77,1,0.656494140625
78,1,0.7550048828125
79,1,0.6605224609375
80,1,0.6661376953125
81,1,0.7564697265625
82,1,0.70947265625
83,1,0.57342529296875
84,1,0.7220458984375
85,1,0.5787353515625
86,1,0.67236328125
87,1,0.65771484375
88,1,0.7264404296875
89,1,0.6861572265625
90,1,0.6729736328125
91,1,0.842041015625
92,1,0.7373046875
93,1,0.7308349609375
94,1,0.5467529296875
95,1,0.7177734375
96,1,0.6805419921875
97,1,0.6829833984375
98,1,0.6092529296875
99,1,0.654296875
100,1,0.61273193359375
101,1,0.7650146484375
102,1,0.7056884765625
103,1,0.7353515625
104,1,0.65753173828125
105,1,0.699951171875
106,1,0.6527099609375
107,1,0.80859375
108,1,0.77685546875
109,1,0.64886474609375
110,1,0.7633056640625
111,1,0.70208740234375
112,1,0.775146484375
113,1,0.55145263671875
114,1,0.654296875
115,1,0.743408203125
116,1,0.7464599609375
117,1,0.6265869140625
118,1,0.6964111328125
119,1,0.647216796875
120,1,0.7401123046875
121,1,0.63128662109375
122,1,0.6544189453125
123,1,0.5792236328125
124,1,0.62225341796875
125,1,0.7227783203125
126,1,0.58251953125
127,1,0.6463623046875
128,1,0.64093017578125
129,1,0.6778564453125
130,1,0.763916015625
131,1,0.671630859375
132,1,0.77325439453125
133,1,0.789306640625
134,1,0.663330078125
135,1,0.7093505859375
136,1,0.6356201171875
137,1,0.6180419921875
138,1,0.51025390625
139,1,0.5977783203125
140,1,0.71142578125
141,1,0.6082763671875
142,1,0.58319091796875
143,1,0.53582763671875
144,1,0.623046875
145,1,0.654052734375
146,1,0.64190673828125
147,1,0.654296875
148,1,0.5943603515625
149,1,0.71478271484375
150,1,0.62677001953125
151,1,0.8218994140625
152,1,0.55560302734375
153,1,0.69769287109375
154,1,0.65521240234375
155,1,0.7349853515625
156,1,0.70819091796875
157,1,0.792236328125
158,1,0.75726318359375
159,1,0.6087646484375
160,1,0.9129638671875
161,1,0.67718505859375
162,1,0.62091064453125
163,1,0.68896484375
164,1,0.49700927734375
165,1,0.7578125
166,1,0.67724609375
167,1,0.795654296875
168,1,0.5701904296875
169,1,0.57733154296875
170,1,0.478271484375
171,1,0.58929443359375
172,1,0.56536865234375
173,1,0.63140869140625
174,1,0.759033203125
175,1,0.6717529296875
176,1,0.60711669921875
177,1,0.57257080078125
178,1,0.70611572265625
179,1,0.51141357421875
180,1,0.89251708984375
181,1,0.55596923828125
182,1,0.62103271484375
183,1,0.689697265625
184,1,0.7156982421875
185,1,0.79925537109375
186,1,0.812744140625
187,1,0.63507080078125
188,1,0.60107421875
189,1,0.50677490234375
190,1,0.63427734375
191,1,0.6768798828125
192,1,0.83721923828125
193,1,0.52142333984375
194,1,0.50079345703125
195,1,0.76763916015625
196,1,0.49322509765625
197,1,0.9339599609375
198,1,0.80853271484375
199,1,0.67926025390625
200,1,0.5269775390625
201,1,0.5361328125
202,1,0.5694580078125
203,1,0.6263427734375
204,1,0.51531982421875
205,1,0.44488525390625
206,1,0.587310791015625
207,1,0.73626708984375
208,1,0.503173828125
209,1,0.7059326171875
210,1,0.8216552734375
211,1,0.7728271484375
212,1,0.764892578125
213,1,0.602783203125
214,1,0.5369873046875
215,1,0.52203369140625
216,1,0.7271728515625
217,1,0.6055908203125
218,1,0.39959716796875
219,1,0.599609375
220,1,0.4508056640625
221,1,0.5985107421875
222,1,0.67803955078125
223,1,0.767578125
224,1,0.739990234375
225,1,0.3260498046875
226,1,0.90716552734375
227,1,0.7667236328125
228,1,0.67901611328125
229,1,0.72088623046875
230,1,0.46728515625
231,1,0.4481201171875
232,1,0.9151611328125
233,1,0.61175537109375
234,1,0.89874267578125
235,1,0.95831298828125
236,1,0.85565185546875
237,1,0.752197265625
238,1,0.822265625
239,1,0.716064453125
240,1,0.757080078125
241,1,0.6873779296875
242,1,1.09521484375
243,1,0.560791015625
244,1,0.38671875
245,1,0.47705078125
246,1,0.81646728515625
247,1,0.7996826171875
248,1,0.68963623046875
249,1,0.58978271484375
250,1,0.96533203125
251,1,0.57037353515625
252,1,0.563720703125
253,1,0.75347900390625
254,1,0.70947265625
255,1,0.5286865234375
256,1,0.51190185546875
257,1,0.49530029296875
258,1,0.5765380859375
259,1,0.574462890625
260,1,0.7403564453125
261,1,0.67694091796875
262,1,0.538330078125
263,1,0.62353515625
264,1,0.57183837890625
265,1,0.80120849609375
266,1,0.50885009765625
267,1,0.75042724609375
268,1,0.9271240234375
269,1,0.66815185546875
270,1,0.9652099609375
271,1,0.4464111328125
272,1,0.48419189453125
273,1,0.654296875
274,1,0.4813232421875
275,1,0.63739013671875
276,1,0.7698974609375
277,1,0.5743408203125
278,1,0.52154541015625
279,1,0.51397705078125
280,1,0.4683837890625
281,1,0.740234375
282,1,0.69427490234375
283,1,0.7322998046875
284,1,0.519287109375
285,1,1.00445556640625
286,1,1.00927734375
287,1,0.6490478515625
288,1,0.660400390625
289,1,0.78167724609375
290,1,0.45751953125
291,1,0.844940185546875
292,1,0.608154296875
293,1,0.49639892578125
294,1,1.046630859375
295,1,0.77496337890625
296,1,0.58038330078125
297,1,0.86932373046875
298,1,0.875091552734375
299,1,0.76416015625
300,1,0.54888916015625
301,1,0.7867431640625
302,1,0.71502685546875
303,1,0.9696044921875
304,1,0.53436279296875
305,1,0.625
306,1,0.60894775390625
307,1,0.4893798828125
308,1,0.6329345703125
309,1,0.421875
310,1,0.68304443359375
311,1,0.5523681640625
312,1,0.562255859375
313,1,0.4913330078125
314,1,0.64501953125
315,1,0.358551025390625
316,1,0.6087646484375
317,1,0.6776123046875
318,1,0.74029541015625
319,1,0.55340576171875
320,1,0.473388671875
321,1,0.77459716796875
322,1,0.7357177734375
323,1,0.65185546875
324,1,0.52703857421875
325,1,1.05633544921875
326,1,0.79150390625
327,1,0.74066162109375
328,1,0.5621337890625
329,1,0.79864501953125
330,1,0.4925537109375
331,1,0.850341796875
332,1,0.8885498046875
333,1,0.67401123046875
334,1,0.624786376953125
335,1,0.56231689453125
336,1,0.64178466796875
337,1,0.365966796875
338,1,0.77813720703125
339,1,0.47454833984375
340,1,0.60369873046875
341,1,0.5926513671875
342,1,0.613525390625
343,1,0.58392333984375
344,1,0.399658203125
345,1,0.7044677734375
346,1,0.52490234375
347,1,0.677001953125
348,1,0.427734375
349,1,0.79791259765625
350,1,0.50372314453125
351,1,0.935546875
352,1,0.7763671875
353,1,0.60400390625
354,1,0.54412841796875
355,1,0.42742919921875
356,1,0.55126953125
357,1,0.681854248046875
358,1,0.5732421875
359,1,0.60540771484375
360,1,0.464630126953125
361,1,0.56524658203125
362,1,0.7144775390625
363,1,0.854248046875
364,1,0.4119873046875
365,1,0.543853759765625
366,1,0.7664794921875
367,1,0.80810546875
368,1,0.74053955078125
369,1,0.552581787109375
370,1,0.9200439453125
371,1,0.8609619140625
372,1,0.83831787109375
373,1,0.37469482421875
374,1,0.513916015625
375,1,0.63482666015625
376,1,0.757080078125
377,1,0.4898681640625
378,1,0.867828369140625
379,1,0.40869140625
380,1,0.55859375
381,1,0.51837158203125
382,1,0.518707275390625
383,1,0.63214111328125
384,1,0.8385009765625
385,1,0.37261962890625
386,1,0.9923095703125
387,1,0.3729248046875
388,1,0.47955322265625
389,1,0.6624755859375
390,1,0.4298095703125
391,1,0.67950439453125
392,1,1.04638671875
393,1,0.793426513671875
394,1,0.50067138671875
395,1,0.34967041015625
396,1,0.521484375
397,1,0.306121826171875
398,1,0.53668212890625
399,1,0.881591796875
400,1,0.92608642578125
401,1,0.34112548828125
402,1,0.65472412109375
403,1,0.393341064453125
404,1,0.536865234375
405,1,0.83709716796875
406,1,0.57794189453125
407,1,0.56585693359375
408,1,0.62847900390625
409,1,0.61077880859375
410,1,0.7301025390625
